# time,lat,lon,altMSC,status
,33.179792,-79.098813167,,
2023-04-13T12:39:20.000Z,33.179792,-79.098813167,,
2023-04-13T12:39:20.000Z,33.1797889,-79.0988111,,
2023-04-13T12:39:22.000Z,33.1797846,-79.098811,,
2023-04-13T12:39:23.000Z,33.179783,-79.0988101,,
2023-04-13T12:39:24.000Z,33.1797812,-79.0988085,,
2023-04-13T12:39:25.000Z,33.179779,-79.0988069,,
2023-04-13T12:39:26.000Z,33.1797758,-79.0988054,,
2023-04-13T12:39:27.000Z,33.1797727,-79.0988046,,
2023-04-13T12:39:28.000Z,33.1797713,-79.0988049,,
2023-04-13T12:39:29.000Z,33.1797711,-79.0988057,,
2023-04-13T12:39:30.000Z,33.1797696,-79.0988068,,
2023-04-13T12:39:31.000Z,33.1797667,-79.0988073,,
2023-04-13T12:39:32.000Z,33.1797636,-79.098806,,
2023-04-13T12:39:33.000Z,33.1797608,-79.0988036,,
2023-04-13T12:39:34.000Z,33.1797595,-79.0988018,,
2023-04-13T12:39:35.000Z,33.1797581,-79.0988001,,
2023-04-13T12:39:36.000Z,33.1797563,-79.0987989,,
2023-04-13T12:39:37.000Z,33.179755,-79.0987988,,
2023-04-13T12:39:38.000Z,33.1797546,-79.0987977,,
2023-04-13T12:39:39.000Z,33.1797524,-79.0987969,,
2023-04-13T12:39:40.000Z,33.1797491,-79.0987954,,
2023-04-13T12:39:41.000Z,33.1797466,-79.0987932,,
2023-04-13T12:39:42.000Z,33.1797442,-79.0987917,,
2023-04-13T12:39:43.000Z,33.1797432,-79.0987909,,
2023-04-13T12:39:44.000Z,33.1797437,-79.0987923,,
2023-04-13T12:39:45.000Z,33.1797432,-79.0987933,,
2023-04-13T12:39:46.000Z,33.1797412,-79.0987931,,
2023-04-13T12:39:47.000Z,33.1797379,-79.0987918,,
2023-04-13T12:39:48.000Z,33.1797349,-79.0987897,,
2023-04-13T12:39:49.000Z,33.1797315,-79.0987878,,
2023-04-13T12:39:50.000Z,33.1797297,-79.0987862,,
2023-04-13T12:39:51.000Z,33.179731,-79.098786,,
2023-04-13T12:39:52.001Z,33.1797317,-79.0987865,,
2023-04-13T12:39:53.000Z,33.1797284,-79.0987872,,
2023-04-13T12:39:54.000Z,33.1797233,-79.0987881,,
2023-04-13T12:39:55.000Z,33.1797197,-79.0987882,,
2023-04-13T12:39:56.000Z,33.1797182,-79.0987875,,
2023-04-13T12:39:57.000Z,33.179717,-79.0987863,,
2023-04-13T12:39:58.000Z,33.1797164,-79.0987846,,
2023-04-13T12:39:59.000Z,33.1797152,-79.0987828,,
2023-04-13T12:40:00.000Z,33.1797123,-79.098781,,
2023-04-13T12:40:01.000Z,33.1797083,-79.0987797,,
2023-04-13T12:40:02.000Z,33.179705,-79.0987802,,
2023-04-13T12:40:03.000Z,33.1797021,-79.0987812,,
2023-04-13T12:40:04.000Z,33.1797007,-79.0987811,,
2023-04-13T12:40:05.000Z,33.1796983,-79.0987808,,
