# time,lat,lon,altMSC,status
,33.220376667,-79.083914833,,
2023-04-14T12:41:17.000Z,33.220366833,-79.083920667,,
2023-04-14T12:41:19.000Z,33.220366833,-79.083920667,,
2023-04-14T12:41:19.000Z,33.2203478,-79.083934,,
2023-04-14T12:41:21.000Z,33.2203284,-79.0839448,,
2023-04-14T12:41:22.000Z,33.22032,-79.0839501,,
2023-04-14T12:41:23.000Z,33.2203126,-79.0839561,,
2023-04-14T12:41:24.000Z,33.2203041,-79.0839626,,
2023-04-14T12:41:25.000Z,33.2202949,-79.0839688,,
2023-04-14T12:41:26.000Z,33.2202854,-79.0839742,,
2023-04-14T12:41:27.000Z,33.2202759,-79.0839782,,
2023-04-14T12:41:28.000Z,33.220267,-79.0839814,,
2023-04-14T12:41:29.000Z,33.220259,-79.0839847,,
2023-04-14T12:41:30.000Z,33.2202523,-79.0839883,,
2023-04-14T12:41:31.000Z,33.2202454,-79.0839923,,
2023-04-14T12:41:32.000Z,33.2202368,-79.0839968,,
2023-04-14T12:41:33.000Z,33.2202284,-79.0840016,,
2023-04-14T12:41:34.000Z,33.2202216,-79.0840055,,
2023-04-14T12:41:35.000Z,33.2202137,-79.0840071,,
2023-04-14T12:41:36.000Z,33.2202055,-79.084008,,
2023-04-14T12:41:37.000Z,33.220197,-79.084011,,
2023-04-14T12:41:38.000Z,33.2201885,-79.084015,,
2023-04-14T12:41:39.000Z,33.2201811,-79.0840195,,
2023-04-14T12:41:40.000Z,33.2201742,-79.0840231,,
2023-04-14T12:41:41.000Z,33.2201676,-79.0840256,,
2023-04-14T12:41:42.000Z,33.220159,-79.0840268,,
2023-04-14T12:41:43.000Z,33.2201499,-79.0840273,,
2023-04-14T12:41:44.000Z,33.2201425,-79.0840288,,
2023-04-14T12:41:45.000Z,33.2201363,-79.0840324,,
2023-04-14T12:41:46.000Z,33.2201288,-79.0840354,,
2023-04-14T12:41:47.000Z,33.2201206,-79.0840367,,
2023-04-14T12:41:48.000Z,33.2201121,-79.084038,,
2023-04-14T12:41:49.000Z,33.2201036,-79.0840397,,
2023-04-14T12:41:50.000Z,33.2200955,-79.0840411,,
2023-04-14T12:41:51.000Z,33.2200879,-79.0840416,,
2023-04-14T12:41:52.000Z,33.2200814,-79.084043,,
2023-04-14T12:41:53.000Z,33.220074,-79.084046,,
