# time,lat,lon,altMSC,status
2023-04-13T13:00:43.000Z,33.1785936,-79.0967491,,2
2023-04-13T13:00:44.001Z,33.17859,-79.0967461,,2
2023-04-13T13:00:45.000Z,33.1785903,-79.0967467,,2
2023-04-13T13:00:46.000Z,33.1785926,-79.0967493,,2
2023-04-13T13:00:47.000Z,33.1785921,-79.0967477,,2
2023-04-13T13:00:48.000Z,33.1785893,-79.0967455,,2
2023-04-13T13:00:49.000Z,33.1785891,-79.0967452,,2
2023-04-13T13:00:50.000Z,33.1785901,-79.0967452,,2
2023-04-13T13:00:51.000Z,33.1785913,-79.0967476,,2
2023-04-13T13:00:52.000Z,33.1785934,-79.0967488,,2
2023-04-13T13:00:53.000Z,33.1785935,-79.0967486,,2
2023-04-13T13:00:54.000Z,33.1785922,-79.0967498,,2
2023-04-13T13:00:55.000Z,33.1785902,-79.0967471,,2
2023-04-13T13:00:56.000Z,33.178588,-79.0967434,,2
2023-04-13T13:00:57.000Z,33.1785855,-79.0967417,,2
2023-04-13T13:00:58.000Z,33.1785873,-79.0967418,,2
2023-04-13T13:00:59.000Z,33.1785891,-79.096745,,2
2023-04-13T13:01:00.000Z,33.1785897,-79.0967487,,2
2023-04-13T13:01:01.000Z,33.1785907,-79.0967499,,2
2023-04-13T13:01:02.000Z,33.178591,-79.0967481,,2
2023-04-13T13:01:03.000Z,33.1785895,-79.0967453,,2
2023-04-13T13:01:04.000Z,33.1785876,-79.096743,,2
2023-04-13T13:01:05.000Z,33.1785865,-79.096744,,2
2023-04-13T13:01:06.000Z,33.1785872,-79.0967433,,2
2023-04-13T13:01:07.000Z,33.1785875,-79.0967428,,2
2023-04-13T13:01:08.000Z,33.1785884,-79.0967425,,2
2023-04-13T13:01:09.000Z,33.1785885,-79.0967413,,2
2023-04-13T13:01:10.000Z,33.1785886,-79.096742,,2
2023-04-13T13:01:11.000Z,33.1785899,-79.0967445,,2
2023-04-13T13:01:12.000Z,33.1785905,-79.0967468,,2
2023-04-13T13:01:13.000Z,33.1785892,-79.0967463,,2
2023-04-13T13:01:14.000Z,33.1785873,-79.096744,,2
2023-04-13T13:01:15.000Z,33.1785883,-79.0967434,,2
2023-04-13T13:01:16.000Z,33.1785892,-79.0967441,,2
2023-04-13T13:01:17.000Z,33.1785881,-79.0967427,,2
2023-04-13T13:01:18.000Z,33.1785854,-79.0967396,,2
2023-04-13T13:01:19.000Z,33.1785857,-79.096741,,2
2023-04-13T13:01:20.000Z,33.1785901,-79.0967455,,2
2023-04-13T13:01:21.000Z,33.1785936,-79.0967476,,2
2023-04-13T13:01:22.000Z,33.1785939,-79.0967475,,2
2023-04-13T13:01:23.000Z,33.1785934,-79.0967445,,2
2023-04-13T13:01:24.000Z,33.1785935,-79.0967421,,2
2023-04-13T13:01:25.000Z,33.178591,-79.0967401,,2
2023-04-13T13:01:26.000Z,33.1785882,-79.0967385,,2
2023-04-13T13:01:27.000Z,33.1785876,-79.0967423,,2
2023-04-13T13:01:28.000Z,33.1785907,-79.0967453,,2
2023-04-13T13:01:29.000Z,33.1785917,-79.0967467,,2
2023-04-13T13:01:30.000Z,33.1785922,-79.0967468,,2
2023-04-13T13:01:31.000Z,33.1785945,-79.0967452,,2
2023-04-13T13:01:32.000Z,33.1785917,-79.0967415,,2
2023-04-13T13:01:33.000Z,33.1785886,-79.0967411,,2
2023-04-13T13:01:34.000Z,33.1785912,-79.096743,,2
2023-04-13T13:01:35.000Z,33.1785933,-79.0967441,,2
2023-04-13T13:01:36.000Z,33.1785936,-79.0967446,,2
2023-04-13T13:01:37.000Z,33.1785934,-79.096742,,2
2023-04-13T13:01:38.000Z,33.1785925,-79.0967421,,2
2023-04-13T13:01:39.000Z,33.1785925,-79.0967441,,2
2023-04-13T13:01:40.000Z,33.178593,-79.0967445,,2
2023-04-13T13:01:41.000Z,33.1785912,-79.0967439,,2
2023-04-13T13:01:42.000Z,33.1785905,-79.0967399,,2
2023-04-13T13:01:43.000Z,33.1785913,-79.0967407,,2
2023-04-13T13:01:44.000Z,33.1785919,-79.0967445,,2
2023-04-13T13:01:45.000Z,33.1785925,-79.096745,,2
2023-04-13T13:01:46.000Z,33.1785921,-79.0967424,,2
2023-04-13T13:01:47.000Z,33.178592,-79.0967433,,2
2023-04-13T13:01:48.000Z,33.1785934,-79.0967449,,2
2023-04-13T13:01:49.000Z,33.1785931,-79.0967457,,2
2023-04-13T13:01:50.000Z,33.1785942,-79.0967471,,2
2023-04-13T13:01:51.000Z,33.1785944,-79.096747,,2
2023-04-13T13:01:52.000Z,33.1785915,-79.0967451,,2
2023-04-13T13:01:53.000Z,33.1785892,-79.0967436,,2
2023-04-13T13:01:54.000Z,33.1785886,-79.0967437,,2
2023-04-13T13:01:55.000Z,33.1785885,-79.0967437,,2
2023-04-13T13:01:56.000Z,33.1785896,-79.0967463,,2
2023-04-13T13:01:57.000Z,33.1785926,-79.0967506,,2
2023-04-13T13:01:58.000Z,33.1785946,-79.0967519,,2
